"Respondent","Cognitive","Affective","Conative","Typology"
146,0.054,0.313,0.014,"Balanced-Tripartite"
147,0.103,0.479,-0.144,"Conative-Deficit"
148,0.239,0.19,0.004,"Balanced-Tripartite"
149,-0.614,0.372,0.368,"Undifferentiated"
150,1.519,0.383,0.818,"Cognitive-Dominant"
151,0.081,-0.254,0.186,"Affective-Friction"
152,-0.247,-0.275,0.351,"Affective-Friction"
153,0.729,0.699,0.292,"Cognitive-Dominant"
154,-0.094,0.082,-0.08,"Balanced-Tripartite"
155,-0.6,-0.725,-0.438,"Balanced-Tripartite"
156,-0.78,-0.424,-0.153,"Undifferentiated"
157,-0.129,0.182,0.123,"Undifferentiated"
158,0.524,-0.007,-0.183,"Cognitive-Dominant"
159,0.403,0.459,0.442,"Balanced-Tripartite"
160,-0.682,-0.273,-0.044,"Undifferentiated"
161,0.254,0.076,0.827,"Affective-Friction"
162,0.193,0.701,0.714,"Undifferentiated"
163,-0.049,0.169,-0.755,"Conative-Deficit"
164,-0.116,-0.196,-0.528,"Cognitive-Dominant"
165,-0.388,0.197,-0.195,"Undifferentiated"
166,-1.155,-0.296,-1.158,"Conative-Deficit"
167,-0.262,0.086,-0.167,"Undifferentiated"
168,-0.278,-0.428,-0.555,"Balanced-Tripartite"
169,-0.901,-0.278,-0.046,"Undifferentiated"
170,-0.48,0.196,0.137,"Undifferentiated"
171,-0.712,0.059,-0.459,"Undifferentiated"
172,-0.578,-0.212,-0.567,"Undifferentiated"
173,-0.762,-0.218,0.217,"Undifferentiated"
174,-0.172,-0.287,-0.42,"Balanced-Tripartite"
175,0.538,0.148,0.555,"Affective-Friction"
176,-0.855,-0.321,-0.484,"Undifferentiated"
177,0.093,0.652,0.705,"Undifferentiated"
178,0.723,0.751,0.068,"Conative-Deficit"
179,0.583,0.482,-0.026,"Cognitive-Dominant"
180,-0.799,-0.511,-1.061,"Conative-Deficit"
181,-0.138,-0.198,-0.939,"Cognitive-Dominant"
182,0.47,0.937,0.161,"Conative-Deficit"
183,0.294,-0.395,-0.3,"Cognitive-Dominant"
184,1.024,0.152,0.936,"Cognitive-Dominant"
185,0.547,-0.424,-0.154,"Cognitive-Dominant"
186,0.7,-0.11,-0.229,"Cognitive-Dominant"
187,0.223,0.423,0.932,"Undifferentiated"
188,0.027,0.423,-0.004,"Conative-Deficit"
189,-0.64,-0.222,-0.357,"Undifferentiated"
190,0.214,-0.051,0.422,"Affective-Friction"
191,-0.305,-0.658,-0.469,"Cognitive-Dominant"
192,-0.332,-0.119,-0.395,"Balanced-Tripartite"
193,1.196,-0.266,-0.015,"Cognitive-Dominant"
194,-1.402,-0.856,-1.193,"Undifferentiated"
195,0.007,-0.035,-0.423,"Cognitive-Dominant"
196,-0.152,0.614,0.152,"Undifferentiated"
197,-0.85,-0.234,-0.581,"Undifferentiated"
198,-0.994,-0.122,-0.175,"Undifferentiated"
199,-0.375,0.051,-0.015,"Undifferentiated"
200,0.091,0.768,0.307,"Undifferentiated"
201,0.4,0.13,0.24,"Balanced-Tripartite"
202,-0.029,-0.326,0.019,"Affective-Friction"
203,0.608,0.077,-0.09,"Cognitive-Dominant"
204,-0.608,-0.132,-0.546,"Undifferentiated"
205,0.071,0.303,-0.044,"Conative-Deficit"
206,-0.059,0.054,0.614,"Undifferentiated"
207,0.744,0.229,-0.049,"Cognitive-Dominant"
208,-0.15,-0.284,-0.56,"Cognitive-Dominant"
209,1.539,0.699,0.718,"Cognitive-Dominant"
210,0.2,0.203,0.393,"Balanced-Tripartite"
211,0.089,0.357,0.239,"Balanced-Tripartite"
212,0.342,-0.094,-0.148,"Cognitive-Dominant"
213,-0.984,-0.515,-1.134,"Conative-Deficit"
214,-0.027,0.445,-0.055,"Conative-Deficit"
215,0.077,0.195,0.578,"Undifferentiated"
216,0.358,-0.639,-0.353,"Cognitive-Dominant"
217,0.08,0.335,0.151,"Balanced-Tripartite"
218,-0.029,-0.775,-0.181,"Cognitive-Dominant"
219,-0.988,-0.439,-0.962,"Undifferentiated"
220,0.871,0.384,0.449,"Cognitive-Dominant"
221,0.674,0.367,0.022,"Cognitive-Dominant"
222,1.107,0.662,-0.257,"Cognitive-Dominant"
223,-0.231,0.037,0.364,"Undifferentiated"
224,0.484,-0.23,0.018,"Cognitive-Dominant"
225,0.321,0.551,0.468,"Balanced-Tripartite"
226,0.518,0.41,0.121,"Cognitive-Dominant"
227,0.115,0.038,-0.129,"Balanced-Tripartite"
228,0.177,0.156,0.597,"Affective-Friction"
229,-0.463,-0.904,-0.145,"Affective-Friction"
230,0.082,-0.137,0.06,"Balanced-Tripartite"
231,-0.032,0.499,0.456,"Undifferentiated"
232,0.132,-0.528,-0.249,"Cognitive-Dominant"
233,0.817,0.085,0.623,"Cognitive-Dominant"
234,0.095,-0.297,0.579,"Affective-Friction"
235,0.448,0.263,0.24,"Balanced-Tripartite"
236,0.04,0.117,-0.196,"Conative-Deficit"
237,0.205,-0.31,-0.307,"Cognitive-Dominant"
238,-1.087,-0.895,-1.196,"Conative-Deficit"
239,-0.886,-0.248,0.161,"Undifferentiated"
240,-0.868,-0.182,-0.34,"Undifferentiated"
241,-0.422,-0.474,-0.368,"Balanced-Tripartite"
242,-0.152,0.112,0.847,"Undifferentiated"
243,0.252,-0.394,-0.483,"Cognitive-Dominant"
244,-0.664,-0.603,0.467,"Undifferentiated"
245,0.273,-0.318,-0.501,"Cognitive-Dominant"
246,-1.11,-0.341,-0.246,"Undifferentiated"
247,-1.008,-0.102,0.015,"Undifferentiated"
248,-0.686,-0.583,0.095,"Undifferentiated"
249,-0.855,0.729,0.231,"Undifferentiated"
250,-0.576,-0.34,-0.346,"Balanced-Tripartite"
251,-0.142,-0.003,-0.019,"Balanced-Tripartite"
252,-0.674,0.657,0.437,"Undifferentiated"
253,-0.388,-0.415,0.259,"Affective-Friction"
254,0.1,-0.303,0.094,"Cognitive-Dominant"
255,-0.312,-0.171,0.037,"Undifferentiated"
256,0.202,-0.148,-0.384,"Cognitive-Dominant"
257,1.408,-0.068,-0.11,"Cognitive-Dominant"
258,-0.275,-0.169,0.429,"Undifferentiated"
259,-0.115,0.608,0.135,"Undifferentiated"
260,0.188,-0.07,0.348,"Affective-Friction"
261,0.421,0.691,-0.173,"Conative-Deficit"
262,-0.016,-0.348,-0.599,"Cognitive-Dominant"
263,-0.102,0.438,0.591,"Undifferentiated"
264,0.407,0.613,0.269,"Conative-Deficit"
265,-0.429,0.214,-0.125,"Undifferentiated"
266,0.163,0.09,0.124,"Balanced-Tripartite"
267,0.658,-0.617,-0.637,"Cognitive-Dominant"
268,0.14,0.109,-0.357,"Cognitive-Dominant"
269,0.8,-0.147,0.64,"Cognitive-Dominant"
270,0.057,-0.041,-0.268,"Cognitive-Dominant"
271,0.529,-1.027,-0.214,"Cognitive-Dominant"
272,-0.029,-0.498,-0.76,"Cognitive-Dominant"
273,-0.471,-0.952,-0.834,"Cognitive-Dominant"
274,0.59,0.483,0.435,"Balanced-Tripartite"
275,0.097,-0.174,0.155,"Affective-Friction"
276,-1.143,-1.175,-1.047,"Balanced-Tripartite"
277,0.733,0.246,0.218,"Cognitive-Dominant"
278,-0.164,-0.317,-0.888,"Cognitive-Dominant"
279,-0.319,0.385,-0.284,"Undifferentiated"
280,0.285,-0.044,0.384,"Affective-Friction"
281,0.197,-0.151,0.044,"Cognitive-Dominant"
282,0.233,0.123,-0.358,"Cognitive-Dominant"
283,-0.171,0.129,0.197,"Undifferentiated"
284,0.542,-0.232,-0.711,"Cognitive-Dominant"
285,0.958,0.624,0.646,"Cognitive-Dominant"
286,-0.21,-0.474,0.023,"Affective-Friction"
287,0.03,0.341,0.671,"Undifferentiated"
288,-1.147,-0.249,-0.224,"Undifferentiated"
289,-0.215,0.201,0.768,"Undifferentiated"
290,0.572,0.041,0.524,"Cognitive-Dominant"
291,-0.103,0.177,0.301,"Undifferentiated"
292,0.271,0.392,-0.448,"Conative-Deficit"
293,0.006,0.379,0.891,"Undifferentiated"
294,-0.806,-0.441,-0.394,"Undifferentiated"
295,-0.96,-0.774,-0.545,"Undifferentiated"
296,0.355,-0.127,0.432,"Affective-Friction"
297,-0.339,0.246,-0.505,"Conative-Deficit"
298,-0.566,-0.273,-0.399,"Balanced-Tripartite"
299,0.396,0.63,0.434,"Balanced-Tripartite"
300,-0.021,0.002,-0.013,"Balanced-Tripartite"
301,-0.388,-0.046,-0.164,"Undifferentiated"
302,0.212,0.251,-0.485,"Conative-Deficit"
303,0.44,-0.588,0.241,"Cognitive-Dominant"
304,0.12,0.026,-0.111,"Balanced-Tripartite"
305,-0.079,0.344,-0.14,"Conative-Deficit"
306,-0.429,-0.224,-0.117,"Undifferentiated"
307,0.203,-0.325,-0.315,"Cognitive-Dominant"
308,-0.111,0.489,-0.243,"Conative-Deficit"
309,0.386,-0.001,0.843,"Affective-Friction"
310,-0.016,0.19,0.494,"Undifferentiated"
311,-0.947,0.3,0.385,"Undifferentiated"
312,0.261,0.402,-0.862,"Conative-Deficit"
313,-0.671,0.049,-0.332,"Undifferentiated"
314,-0.741,0.544,0.02,"Undifferentiated"
315,-0.175,-0.126,-0.517,"Conative-Deficit"
316,-0.033,0.416,0.014,"Undifferentiated"
317,0.213,-0.204,-0.42,"Cognitive-Dominant"
318,-0.235,-0.322,-0.051,"Balanced-Tripartite"
319,-0.83,-0.232,-0.112,"Undifferentiated"
320,-0.256,-0.341,-0.726,"Cognitive-Dominant"
321,-0.102,-0.353,-0.513,"Cognitive-Dominant"
322,0.532,0.25,0.008,"Cognitive-Dominant"
323,-0.18,-0.035,-0.485,"Conative-Deficit"
324,-1.358,-1.049,-0.691,"Undifferentiated"
325,-0.293,0.199,0.238,"Undifferentiated"
326,-0.188,-0.159,-0.041,"Balanced-Tripartite"
327,1.053,0.305,0.942,"Cognitive-Dominant"
328,-0.622,0.263,0.304,"Undifferentiated"
329,-0.428,-0.255,-0.095,"Undifferentiated"
330,0.393,-0.507,0.489,"Affective-Friction"
331,-0.409,-0.614,-0.132,"Affective-Friction"
332,-0.474,0.359,0.323,"Undifferentiated"
333,-0.678,-0.344,-0.795,"Conative-Deficit"
334,-0.641,-0.179,-0.071,"Undifferentiated"
335,1.14,0.198,0.367,"Cognitive-Dominant"
336,1.2,0.661,-0.065,"Cognitive-Dominant"
337,0.197,-0.165,-0.363,"Cognitive-Dominant"
338,-0.746,-0.034,0.002,"Undifferentiated"
339,0.809,-0.284,-0.211,"Cognitive-Dominant"
340,-1.184,-0.806,-0.916,"Undifferentiated"
341,1.107,0.067,0.503,"Cognitive-Dominant"
342,1.218,-0.071,0.495,"Cognitive-Dominant"
343,0.012,0.097,0.058,"Balanced-Tripartite"
344,0.37,0.246,1.255,"Affective-Friction"
345,-0.471,0.328,0.103,"Undifferentiated"
346,0.008,-0.441,-1.155,"Cognitive-Dominant"
347,-0.661,-0.267,-0.774,"Conative-Deficit"
348,0.276,0.286,-0.043,"Conative-Deficit"
349,0.575,1.038,0.509,"Conative-Deficit"
350,0.125,0.766,-0.004,"Conative-Deficit"
351,-0.926,-0.384,0.019,"Undifferentiated"
352,-0.043,0.798,0.58,"Undifferentiated"
353,1.3,0.284,0.79,"Cognitive-Dominant"
354,0.048,-0.092,0.201,"Balanced-Tripartite"
355,-0.709,0.206,-0.347,"Undifferentiated"
356,-0.891,-0.301,-0.814,"Undifferentiated"
357,-0.324,-0.26,-0.08,"Balanced-Tripartite"
358,-0.169,-0.782,-0.591,"Cognitive-Dominant"
359,-0.557,0.086,0.864,"Undifferentiated"
360,0.061,-0.368,-0.068,"Cognitive-Dominant"
361,0.006,0.894,0.903,"Undifferentiated"
362,-0.201,-0.67,-0.234,"Cognitive-Dominant"
363,0.31,-0.559,0.094,"Cognitive-Dominant"
364,0.376,0.579,0.317,"Balanced-Tripartite"
365,0.161,0.255,0.544,"Undifferentiated"
366,-0.102,-0.085,-0.495,"Conative-Deficit"
367,-0.115,0.447,0.993,"Undifferentiated"
368,0.755,0.367,0.249,"Cognitive-Dominant"
369,-0.537,-0.519,-0.332,"Balanced-Tripartite"
370,0.193,0.055,-0.741,"Cognitive-Dominant"
371,-0.862,-0.095,-0.591,"Undifferentiated"
372,1.031,-0.002,-0.427,"Cognitive-Dominant"
373,-0.339,-0.819,-0.193,"Affective-Friction"
374,0.727,0.71,0.492,"Balanced-Tripartite"
375,0.263,-0.712,-0.158,"Cognitive-Dominant"
376,0.319,0.1,0.057,"Balanced-Tripartite"
377,0.019,-0.189,0.52,"Affective-Friction"
378,0.665,0.067,-0.011,"Cognitive-Dominant"
379,0.352,0.409,0.368,"Balanced-Tripartite"
380,-0.609,0.32,-0.138,"Undifferentiated"
381,-0.025,0.248,0.134,"Balanced-Tripartite"
382,0.58,-0.085,0.011,"Cognitive-Dominant"
383,0.548,0.195,-0.29,"Cognitive-Dominant"
384,0.092,0.415,0.764,"Undifferentiated"
385,0.767,-0.18,0.098,"Cognitive-Dominant"
386,-0.36,-0.61,0.043,"Affective-Friction"
387,-0.844,-0.427,-0.023,"Undifferentiated"
388,-1.219,0.43,-0.764,"Undifferentiated"
389,1.515,0.373,0.785,"Cognitive-Dominant"
390,-0.549,-0.335,0.408,"Undifferentiated"
391,-1.308,-0.445,-0.954,"Undifferentiated"
392,0.885,0.611,1.164,"Affective-Friction"
393,0.426,0.441,0.848,"Undifferentiated"
394,-0.721,0.105,-0.397,"Undifferentiated"
395,0.335,0.473,-0.162,"Conative-Deficit"
396,-0.637,-0.38,-0.551,"Balanced-Tripartite"
397,0.187,0.132,-0.127,"Cognitive-Dominant"
398,-0.112,0.047,0.609,"Undifferentiated"
399,-0.648,-0.026,-0.368,"Undifferentiated"
400,1.217,0.025,-0.279,"Cognitive-Dominant"
401,-0.235,0.031,0.447,"Undifferentiated"
402,0.078,0.204,0.065,"Balanced-Tripartite"
403,0.432,-0.052,-0.061,"Cognitive-Dominant"
404,-0.232,0.055,0.312,"Undifferentiated"
405,0.323,0.374,0.016,"Conative-Deficit"
406,0.65,-0.277,0.176,"Cognitive-Dominant"
407,0.355,-0.503,0.843,"Affective-Friction"
408,1.143,0.009,-0.023,"Cognitive-Dominant"
409,-0.49,0.399,0.59,"Undifferentiated"
410,-0.045,0.112,0.515,"Undifferentiated"
411,-0.01,-0.089,-0.469,"Cognitive-Dominant"
412,-0.501,-0.184,0.173,"Undifferentiated"
413,0.169,-0.207,0.197,"Affective-Friction"
414,0.129,-0.219,-0.288,"Cognitive-Dominant"
415,-1.541,-1.044,-0.459,"Undifferentiated"
416,-0.578,0.808,0.62,"Undifferentiated"
417,0.539,-0.259,-0.094,"Cognitive-Dominant"
418,0.186,-0.398,0.575,"Affective-Friction"
419,0.788,-0.499,-0.46,"Cognitive-Dominant"
420,-0.986,-0.067,-0.984,"Undifferentiated"
421,-0.318,-0.283,-0.007,"Undifferentiated"
422,0.519,0.26,0.278,"Balanced-Tripartite"
423,0.533,-0.628,-0.36,"Cognitive-Dominant"
424,-0.405,-0.104,-0.545,"Conative-Deficit"
425,-0.086,0.152,-0.433,"Conative-Deficit"
426,-0.232,-0.498,-0.571,"Cognitive-Dominant"
427,-1.157,0.254,0.473,"Undifferentiated"
428,-0.139,0.536,0.28,"Undifferentiated"
429,0.398,0.358,-0.02,"Cognitive-Dominant"
430,-0.686,-0.16,-0.584,"Undifferentiated"
431,0.467,-0.867,-0.245,"Cognitive-Dominant"
432,0.933,-0.276,-0.902,"Cognitive-Dominant"
433,-1.029,-0.604,0.227,"Undifferentiated"
434,-0.802,-0.195,-0.608,"Undifferentiated"
435,0.447,0.882,0.3,"Conative-Deficit"
436,0.42,-0.24,-0.439,"Cognitive-Dominant"
437,-0.391,-0.512,0.538,"Affective-Friction"
438,0.207,-0.585,-0.913,"Cognitive-Dominant"
439,0.561,0.042,-0.077,"Cognitive-Dominant"
440,1.063,0.275,-0.006,"Cognitive-Dominant"
441,0.469,0.027,0.334,"Cognitive-Dominant"
442,0.359,0.412,-0.107,"Conative-Deficit"
443,1.12,0.246,0.327,"Cognitive-Dominant"
444,0.289,-0.035,-0.307,"Cognitive-Dominant"
445,1.342,1.075,0.71,"Cognitive-Dominant"
446,0.25,-0.108,-0.06,"Cognitive-Dominant"
447,-0.136,-0.681,0.347,"Affective-Friction"
448,-0.216,0.091,0.25,"Undifferentiated"
449,0.072,-0.383,-0.817,"Cognitive-Dominant"
450,0.068,-0.193,-0.148,"Balanced-Tripartite"
451,0.074,-0.251,0.018,"Cognitive-Dominant"
452,-0.042,0.318,-0.589,"Conative-Deficit"
453,0.047,0.44,0.142,"Undifferentiated"
454,-0.632,-0.761,-0.485,"Balanced-Tripartite"
455,-0.227,-0.112,0.311,"Undifferentiated"
456,-0.257,-0.726,-0.257,"Cognitive-Dominant"
457,0.382,0.228,0.3,"Balanced-Tripartite"
458,-0.387,-0.276,-0.065,"Undifferentiated"
459,-0.494,0.231,-0.002,"Undifferentiated"
460,0.247,-0.476,0.158,"Cognitive-Dominant"
461,0.302,-0.028,0.14,"Cognitive-Dominant"
462,-0.114,0.26,0.009,"Undifferentiated"
463,-0.05,-0.141,-0.213,"Balanced-Tripartite"
464,0.008,0.36,-0.501,"Conative-Deficit"
465,0.214,-0.56,0.573,"Affective-Friction"
466,-0.019,0.204,-0.334,"Conative-Deficit"
467,-0.115,-0.142,-0.257,"Balanced-Tripartite"
468,-0.186,-0.731,-1.075,"Cognitive-Dominant"
469,0.828,0.125,-0.208,"Cognitive-Dominant"
470,-0.703,0.314,-0.05,"Undifferentiated"
471,1.374,1.264,0.91,"Cognitive-Dominant"
472,1.479,0.489,0.215,"Cognitive-Dominant"
473,0.134,0.189,0.336,"Balanced-Tripartite"
474,-0.609,-0.999,-0.606,"Affective-Friction"
475,0.944,1.095,-0.047,"Conative-Deficit"
476,-0.154,-0.149,-0.291,"Balanced-Tripartite"
477,-0.886,-1.064,-0.888,"Balanced-Tripartite"
478,-0.613,-0.821,-0.361,"Affective-Friction"
479,-0.605,-0.329,-0.561,"Balanced-Tripartite"
480,0.734,0.88,0.074,"Conative-Deficit"
481,-0.156,-0.27,-0.764,"Cognitive-Dominant"
482,-0.186,0.702,-0.485,"Conative-Deficit"
483,-1.261,-0.587,-0.463,"Undifferentiated"
484,-0.203,0.084,-0.113,"Balanced-Tripartite"
485,-0.769,-1.067,-1.17,"Cognitive-Dominant"
486,0.263,0.457,-0.076,"Conative-Deficit"
487,0.606,-0.211,-0.347,"Cognitive-Dominant"
488,-0.228,-0.07,1.052,"Undifferentiated"
489,0.635,-0.009,-0.011,"Cognitive-Dominant"
490,0.044,0.326,0.184,"Balanced-Tripartite"
491,0.349,-0.14,-0.721,"Cognitive-Dominant"
492,-0.237,0.379,0.087,"Undifferentiated"
493,0.469,0.657,0.955,"Undifferentiated"
494,-0.046,-0.127,-0.964,"Cognitive-Dominant"
495,0.067,0.043,-0.383,"Cognitive-Dominant"
496,0.014,0.359,0.919,"Undifferentiated"
497,-0.476,0.205,-0.133,"Undifferentiated"
498,-0.706,-0.35,-0.659,"Undifferentiated"
499,-0.491,-0.135,0.601,"Undifferentiated"
500,-0.131,-0.369,-0.607,"Cognitive-Dominant"
501,-0.656,-0.278,-0.375,"Undifferentiated"
502,-0.256,0.427,0.429,"Undifferentiated"
503,0.038,-0.328,-0.394,"Cognitive-Dominant"
504,0.262,-0.239,-0.016,"Cognitive-Dominant"
505,0.97,0.84,0.614,"Cognitive-Dominant"
506,-0.085,0.002,1.191,"Undifferentiated"
507,0.536,0.768,0.041,"Conative-Deficit"
508,0.264,0.155,-0.207,"Cognitive-Dominant"
509,-0.352,-0.072,0.027,"Undifferentiated"
510,1.263,0.25,0.307,"Cognitive-Dominant"
511,-0.33,0.638,-0.311,"Undifferentiated"
512,0.227,-0.009,0.527,"Affective-Friction"
513,-1.028,-0.634,-0.443,"Undifferentiated"
514,-0.37,-0.113,0.338,"Undifferentiated"
515,-1.071,-0.509,0.149,"Undifferentiated"
516,0.238,0.225,0.385,"Balanced-Tripartite"
